% Model,perovskite_alpha2_45_ax260_rdisk56.mph
% Version,COMSOL 5.6.0.280
% Date,"Dec 7 2021, 00:32"
% Table,Evaluation Group 1 - 
% alpha1 (rad),freq (THz),Total reflectance (1)
0,500,0.3431170460756332
0,504,0.3459130580937742
0,508,0.3488495593281127
0,512,0.35206984777026584
0,516,0.3555365432243105
0,520,0.35934591996952475
0,524,0.3635127640625209
0,528,0.3689537595087822
0,532,0.3797030968590574
0,536,0.3716762463378947
0,540,0.3712224341015264
0,544,0.376169528612377
0,548,0.3815161390383826
0,552,0.3872667186825328
0,556,0.39448274989411214
0,560,0.3990627340793021
0,564,0.36359845676532704
0,568,0.29145591524782416
0,572,0.35998199824311466
0,576,0.3859053329319234
0,580,0.36953014456040945
0,584,0.2614677201590321
0,588,0.2238155864529111
0,592,0.2541903409914745
0,596,0.285598162015558
0,600,0.312550204539408
0,604,0.33485618104648757
0,608,0.34140311446731836
0,612,0.2584385560036495
0,616,0.04518604809251556
0,620,0.07558392784324991
0,624,0.1497186171087316
0,628,0.1953698219173382
0,632,0.22400367655653677
0,636,0.24339434847211483
0,640,0.2575265894814933
0,644,0.26848008693084
0,648,0.2774453170639863
0,652,0.2852641858777399
0.03490658503988659,500,0.34334570141479565
0.03490658503988659,504,0.34620644332317024
0.03490658503988659,508,0.3491560422619224
0.03490658503988659,512,0.35234980707683783
0.03490658503988659,516,0.35592948633261223
0.03490658503988659,520,0.3597871732165826
0.03490658503988659,524,0.36504206146545687
0.03490658503988659,528,0.36633208673972995
0.03490658503988659,532,0.36781014925766775
0.03490658503988659,536,0.3726028176898273
0.03490658503988659,540,0.38059210086745676
0.03490658503988659,544,0.3778034160063317
0.03490658503988659,548,0.3807809905974649
0.03490658503988659,552,0.3879451026734069
0.03490658503988659,556,0.3957166030632721
0.03490658503988659,560,0.3974206523953576
0.03490658503988659,564,0.34535583388960595
0.03490658503988659,568,0.30468048973282047
0.03490658503988659,572,0.3602118639165961
0.03490658503988659,576,0.38584313459939
0.03490658503988659,580,0.36943960542575377
0.03490658503988659,584,0.26132705997804867
0.03490658503988659,588,0.2238598870729164
0.03490658503988659,592,0.2549529196539467
0.03490658503988659,596,0.2863769827637945
0.03490658503988659,600,0.31228912955888843
0.03490658503988659,604,0.33049462183286554
0.03490658503988659,608,0.3107538282734088
0.03490658503988659,612,0.13989037024768075
0.03490658503988659,616,0.1228080341170743
0.03490658503988659,620,0.1008389269679123
0.03490658503988659,624,0.11355618849848897
0.03490658503988659,628,0.1765115280844513
0.03490658503988659,632,0.21469868840349143
0.03490658503988659,636,0.23838647749516123
0.03490658503988659,640,0.2547353488179291
0.03490658503988659,644,0.2671277602589882
0.03490658503988659,648,0.27586075229785906
0.03490658503988659,652,0.2791064202075491
0.06981317007977318,500,0.34425882518029116
0.06981317007977318,504,0.3470955542660433
0.06981317007977318,508,0.35012951749738624
0.06981317007977318,512,0.3533153662536881
0.06981317007977318,516,0.35744251746352784
0.06981317007977318,520,0.36006990746272705
0.06981317007977318,524,0.3596093573666704
0.06981317007977318,528,0.3624843824670928
0.06981317007977318,532,0.3665972112104387
0.06981317007977318,536,0.37091322126935317
0.06981317007977318,540,0.376130869404878
0.06981317007977318,544,0.38325092375509656
0.06981317007977318,548,0.3943470011726359
0.06981317007977318,552,0.39005334673437436
0.06981317007977318,556,0.39502529247212487
0.06981317007977318,560,0.3893035048296191
0.06981317007977318,564,0.29613989894503134
0.06981317007977318,568,0.3291444013420259
0.06981317007977318,572,0.3613123098631653
0.06981317007977318,576,0.38564034312006196
0.06981317007977318,580,0.3691934923441535
0.06981317007977318,584,0.2610850742485379
0.06981317007977318,588,0.22391092582142827
0.06981317007977318,592,0.2562026688383883
0.06981317007977318,596,0.28800924822147117
0.06981317007977318,600,0.3105012127386684
0.06981317007977318,604,0.30466729832001443
0.06981317007977318,608,0.16966325187289158
0.06981317007977318,612,0.14760055423069077
0.06981317007977318,616,0.22072731712733196
0.06981317007977318,620,0.23480351409465552
0.06981317007977318,624,0.13381365475654994
0.06981317007977318,628,0.11428563700650278
0.06981317007977318,632,0.17984082020693953
0.06981317007977318,636,0.2205697217171345
0.06981317007977318,640,0.2431655824013543
0.06981317007977318,644,0.255159160098342
0.06981317007977318,648,0.26378772566834247
0.06981317007977318,652,0.27005481205557635
0.10471975511965978,500,0.3457689700251581
0.10471975511965978,504,0.34869286788221227
