% Model,perovskite_alpha2_45_ax260_rdisk56.mph
% Version,COMSOL 5.6.0.280
% Date,"Dec 7 2021, 08:39"
% Table,Evaluation Group 1 - 
% alpha1 (rad),fr1 (THz),freq (THz),Total reflectance (1)
0,565,565,0.33408971011345706
0,566,566,0.30213611498729886
0,567,567,0.2856687291289568
0,569,569,0.30926696410428545
0,570,570,0.32884267238150855
0,571,571,0.3460215450750681
0,585,585,0.23745347728989835
0,586,586,0.22468984103134768
0,587,587,0.2212144974273169
0,589,589,0.22981935782954444
0,590,590,0.2374751541571496
0,591,591,0.24577498922535385
0,613,613,0.2046630659275955
0,614,614,0.14156555167150017
0,615,615,0.08342916933968833
0,617,617,0.031810721199108036
0,618,618,0.037848540098120165
0,619,619,0.05467650513153067
0,621,621,0.0967614465152503
0,622,622,0.11647847142217381
0,623,623,0.13414584753935438
0.0349065850398865,561,561,0.3938030681676352
0.0349065850398865,562,562,0.385844388262037
0.0349065850398865,563,563,0.37057552173112907
0.0349065850398865,565,565,0.3143567236178185
0.0349065850398865,566,566,0.2934478370273337
0.0349065850398865,567,567,0.2930580990131667
0.0349065850398865,569,569,0.3184699183410954
0.0349065850398865,570,570,0.3327396987044962
0.0349065850398865,571,571,0.34717744353839247
0.0349065850398865,573,573,0.37085189521514583
0.0349065850398865,574,574,0.3787803686448694
0.0349065850398865,575,575,0.38382965009710857
0.0349065850398865,577,577,0.38491058302124026
0.0349065850398865,578,578,0.3816675861531254
0.0349065850398865,579,579,0.3769077410748712
0.0349065850398865,581,581,0.35451901164715693
0.0349065850398865,582,582,0.3283660696310881
0.0349065850398865,583,583,0.2942927622014706
0.0349065850398865,585,585,0.23729721721319705
0.0349065850398865,586,586,0.2245429748963466
0.0349065850398865,587,587,0.2211306034617044
0.0349065850398865,589,589,0.2300430633814354
0.0349065850398865,590,590,0.2378990908757599
0.0349065850398865,591,591,0.24638717930916978
0.0349065850398865,609,609,0.2855473394923132
0.0349065850398865,610,610,0.24550732854359536
0.0349065850398865,611,611,0.19260948896310584
0.0349065850398865,613,613,0.1060716044042453
0.0349065850398865,614,614,0.09831595754372327
0.0349065850398865,615,615,0.10813235331849466
0.0349065850398865,617,617,0.13284277411392015
0.0349065850398865,618,618,0.13246696934246868
0.0349065850398865,619,619,0.12000411420816746
0.0349065850398865,621,621,0.086719157475176
0.0349065850398865,622,622,0.08589193037926404
0.0349065850398865,623,623,0.09684601444713328
0.0349065850398865,625,625,0.13142919855965526
0.0349065850398865,626,626,0.1482599187325466
0.0349065850398865,627,627,0.16331141076797387
0.0698131700797731,561,561,0.3777797067127525
0.0698131700797731,562,562,0.35664105584682093
0.0698131700797731,563,563,0.3255090024461164
0.0698131700797731,565,565,0.28718672864495953
0.0698131700797731,566,566,0.29834585020467513
0.0698131700797731,567,567,0.31533610418357017
0.0698131700797731,569,569,0.3375356017791154
0.0698131700797731,570,570,0.3434918322002136
0.0698131700797731,571,571,0.3513543022874857
0.0698131700797731,573,573,0.3709576782090465
0.0698131700797731,574,574,0.37863985553600316
0.0698131700797731,575,575,0.38363963976671306
0.0698131700797731,577,577,0.3846992864196393
0.0698131700797731,578,578,0.38144511614623666
0.0698131700797731,579,579,0.37667154528072455
0.0698131700797731,581,581,0.3542703831527216
0.0698131700797731,582,582,0.32812084117076806
0.0698131700797731,583,583,0.29405193831983784
0.0698131700797731,585,585,0.23705184365170748
0.0698131700797731,586,586,0.22432064664954432
0.0698131700797731,587,587,0.22099964697121233
0.0698131700797731,589,589,0.2303564601471365
0.0698131700797731,590,590,0.23852394226864473
0.0698131700797731,591,591,0.2473355786575702
0.0698131700797731,609,609,0.13181808895010882
0.0698131700797731,610,610,0.11875281504838962
0.0698131700797731,611,611,0.12774893725825476
0.0698131700797731,613,613,0.16966732972418616
0.0698131700797731,614,614,0.18991869772158884
0.0698131700797731,615,615,0.20703116709735514
0.0698131700797731,617,617,0.23092193930565885
0.0698131700797731,618,618,0.23731230599853564
0.0698131700797731,619,619,0.23908931525371577
0.0698131700797731,621,621,0.22242248789653815
0.0698131700797731,622,622,0.20013668942004176
0.0698131700797731,623,623,0.16850017554898927
0.0698131700797731,625,625,0.10702734876258753
0.0698131700797731,626,626,0.09606811366424041
0.0698131700797731,627,627,0.10046243617759569
0.0698131700797731,629,629,0.1317583586443027
0.0698131700797731,630,630,0.14938637305657526
0.0698131700797731,631,631,0.16557085582110945
0.1047197551196597,561,561,0.3122889325992934
0.1047197551196597,562,562,0.2822660054476934
0.1047197551196597,563,563,0.27106256274815416
0.1047197551196597,565,565,0.3035675118095306
0.1047197551196597,566,566,0.3232726264579943
0.1047197551196597,567,567,0.33842300448298124
0.1047197551196597,569,569,0.35444868852549843
0.1047197551196597,570,570,0.3565943545863022
0.1047197551196597,571,571,0.3587460634989858
0.1047197551196597,573,573,0.37153225724482664
0.1047197551196597,574,574,0.37849895436407116
0.1047197551196597,575,575,0.38330112693398455
0.1047197551196597,577,577,0.3842821818915933
0.1047197551196597,578,578,0.3810129080526729
0.1047197551196597,579,579,0.3762280817438569
0.1047197551196597,581,581,0.35387010489960075
0.1047197551196597,582,582,0.327790841970947
0.1047197551196597,583,583,0.29382639552190215
0.1047197551196597,585,585,0.2371022358273134
0.1047197551196597,586,586,0.2244868772179025
0.1047197551196597,587,587,0.2212339130972662
0.1047197551196597,589,589,0.23061247301632862
0.1047197551196597,590,590,0.23877546994194565
0.1047197551196597,591,591,0.24759339402392053
0.1047197551196597,593,593,0.26511032101162635
0.1047197551196597,594,594,0.27328704988684105
0.1047197551196597,595,595,0.280860730722691
0.1047197551196597,597,597,0.2934452702206563
0.1047197551196597,598,598,0.2977489088738473
0.1047197551196597,599,599,0.29977593401980684
0.1047197551196597,601,601,0.29045924185403676
0.1047197551196597,602,602,0.27331731677259513
0.1047197551196597,603,603,0.2431213452413947
0.1047197551196597,605,605,0.1578410079690073
0.1047197551196597,606,606,0.13296243377039813
0.1047197551196597,607,607,0.13240515768137448
0.1047197551196597,609,609,0.16825702237919607
0.1047197551196597,610,610,0.1886193525348235
0.1047197551196597,611,611,0.20669048989868727
0.1047197551196597,613,613,0.23521492188119894
0.1047197551196597,614,614,0.24630234686909747
0.1047197551196597,615,615,0.25574464653273504
0.1047197551196597,617,617,0.27064588829966263
0.1047197551196597,618,618,0.27634988036504143
0.1047197551196597,619,619,0.2808568188869337
0.1047197551196597,621,621,0.285274869774497
0.1047197551196597,622,622,0.28414082290703946
0.1047197551196597,623,623,0.27958139432823076
0.1047197551196597,625,625,0.25386085278785264
0.1047197551196597,626,626,0.22947363416627975
0.1047197551196597,627,627,0.1967704658209164
0.1047197551196597,629,629,0.12678315230573683
0.1047197551196597,630,630,0.10746375519438421
0.1047197551196597,631,631,0.10371684404016895
0.1047197551196597,633,633,0.12682914070712678
0.1047197551196597,634,634,0.14309194505782064
0.1047197551196597,635,635,0.1586874420592774
0.1396263401595463,557,557,0.3990658065143261
0.1396263401595463,558,558,0.3722691606718044
0.1396263401595463,559,559,0.31827487712810915
0.1396263401595463,561,561,0.23959435000426804
0.1396263401595463,562,562,0.2596395642545323
0.1396263401595463,563,563,0.2872643758050393
0.1396263401595463,565,565,0.3288267627234224
0.1396263401595463,566,566,0.34273360485683685
0.1396263401595463,567,567,0.3529566392421927
0.1396263401595463,569,569,0.3642784218981737
0.1396263401595463,570,570,0.3664307150731718
0.1396263401595463,571,571,0.36670073418854354
0.1396263401595463,573,573,0.3727542329564383
0.1396263401595463,574,574,0.3783494761436007
0.1396263401595463,575,575,0.3826757904096126
0.1396263401595463,577,577,0.383434077463743
0.1396263401595463,578,578,0.3801189039175266
0.1396263401595463,579,579,0.3752926355145099
0.1396263401595463,581,581,0.35293805233194203
0.1396263401595463,582,582,0.32694036871989796
0.1396263401595463,583,583,0.29313490983156454
0.1396263401595463,585,585,0.2370306809601309
0.1396263401595463,586,586,0.22482948109530584
0.1396263401595463,587,587,0.22194991914396794
0.1396263401595463,589,589,0.2315852418383634
0.1396263401595463,590,590,0.23953715120561597
0.1396263401595463,591,591,0.24791352436001013
0.1396263401595463,593,593,0.2638520360144572
0.1396263401595463,594,594,0.27075999918980914
0.1396263401595463,595,595,0.27646410861802173
0.1396263401595463,597,597,0.2810960362095958
0.1396263401595463,598,598,0.2767370202436708
0.1396263401595463,599,599,0.26388043501968694
0.1396263401595463,601,601,0.20118728462660349
0.1396263401595463,602,602,0.16289837177683741
0.1396263401595463,603,603,0.14211266709119041
0.1396263401595463,605,605,0.1598464305102762
0.1396263401595463,606,606,0.17939487042537924
0.1396263401595463,607,607,0.1980363700816118
0.1396263401595463,609,609,0.22820934568708448
0.1396263401595463,610,610,0.2400129014337323
0.1396263401595463,611,611,0.25013663045679985
0.1396263401595463,613,613,0.2666194484072955
0.1396263401595463,614,614,0.2734581954132564
0.1396263401595463,615,615,0.27959088679166694
0.1396263401595463,617,617,0.29018229359561526
0.1396263401595463,618,618,0.29479494552363006
0.1396263401595463,619,619,0.2989991154561203
0.1396263401595463,621,621,0.3061183104615289
0.1396263401595463,622,622,0.3092344015102265
0.1396263401595463,623,623,0.3092680383758875
0.1396263401595463,625,625,0.3058282951874623
0.1396263401595463,626,626,0.30161811114811227
0.1396263401595463,627,627,0.2937968257628397
0.1396263401595463,629,629,0.265705315017804
0.1396263401595463,630,630,0.24162138678123266
0.1396263401595463,631,631,0.21019253392293025
0.1396263401595463,633,633,0.14074138177618373
0.1396263401595463,634,634,0.11704580963757896
0.1396263401595463,635,635,0.10714268739340237
0.1396263401595463,637,637,0.11988353539747608
0.1396263401595463,638,638,0.1339296762110545
0.1396263401595463,639,639,0.14882124396579258
0.1745329251994329,553,553,0.40828938400153303
0.1745329251994329,554,554,0.4060731286856423
0.1745329251994329,555,555,0.39450681989152325
0.1745329251994329,557,557,0.29351741254915775
0.1745329251994329,558,558,0.2282396577788002
0.1745329251994329,559,559,0.2223921112015828
0.1745329251994329,561,561,0.2808206091541819
0.1745329251994329,562,562,0.30457343616184335
0.1745329251994329,563,563,0.32268673424744093
0.1745329251994329,565,565,0.34801140229798755
0.1745329251994329,566,566,0.3572036978677491
0.1745329251994329,567,567,0.3647121827570435
0.1745329251994329,585,585,0.23576507815925615
0.1745329251994329,586,586,0.22385390841318847
